"bucket","qty","cluster","month","predicted"
30,680,2,11,353
45,422,2,11,644
60,1053,2,11,880
75,298,2,11,962
90,440,2,11,876
105,168,2,11,684
120,1183,2,11,468
135,55,2,11,284
150,66,2,11,155
165,22,2,11,77
180,171,2,11,35
195,19,2,11,15
210,22,2,11,6
225,13,2,11,2
240,197,2,11,1
0,22,2,12,29
15,833,2,12,152
30,799,2,12,405
45,523,2,12,717
60,1064,2,12,952
75,303,2,12,1012
90,405,2,12,896
105,204,2,12,680
120,1126,2,12,451
135,37,2,12,266
150,54,2,12,141
165,18,2,12,68
180,154,2,12,30
195,15,2,12,12
210,20,2,12,5
225,6,2,12,2
240,237,2,12,1
0,166,6,0,27352
15,114591,6,0,57492
30,59117,6,0,60422
45,17587,6,0,42334
60,17273,6,0,22246
75,3211,6,0,9352
90,3339,6,0,3276
105,1167,6,0,984
120,4900,6,0,258
135,273,6,0,60
150,335,6,0,13
165,176,6,0,2
180,704,6,0,0
195,92,6,0,0
210,97,6,0,0
225,61,6,0,0
240,704,6,0,0
0,8,6,1,2319
15,9234,6,1,4686
30,4644,6,1,4733
45,1299,6,1,3187
60,1268,6,1,1610
75,215,6,1,650
90,240,6,1,219
105,73,6,1,63
120,352,6,1,16
135,25,6,1,4
150,22,6,1,1
165,13,6,1,0
180,38,6,1,0
195,5,6,1,0
210,7,6,1,0
225,5,6,1,0
240,40,6,1,0
0,13,6,2,2540
15,10320,6,2,5200
30,5140,6,2,5321
45,1523,6,2,3631
60,1483,6,2,1858
75,249,6,2,761
90,259,6,2,259
105,95,6,2,76
120,409,6,2,19
135,15,6,2,4
150,31,6,2,1
165,10,6,2,0
180,57,6,2,0
195,4,6,2,0
210,6,6,2,0
225,4,6,2,0
240,53,6,2,0
0,8,6,3,2129
15,8862,6,3,4494
30,4682,6,3,4743
45,1456,6,3,3337
60,1341,6,3,1761
75,281,6,3,744
90,285,6,3,262
105,98,6,3,79
120,379,6,3,21
135,31,6,3,5
150,23,6,3,1
165,16,6,3,0
180,58,6,3,0
195,6,6,3,0
210,7,6,3,0
225,6,6,3,0
240,36,6,3,0
0,13,6,4,2454
15,10069,6,4,5098
30,5141,6,4,5296
45,1598,6,4,3668
60,1506,6,4,1905
75,281,6,4,792
90,287,6,4,274
105,96,6,4,81
120,425,6,4,21
135,21,6,4,5
150,19,6,4,1
165,15,6,4,0
180,51,6,4,0
195,8,6,4,0
210,13,6,4,0
225,5,6,4,0
240,47,6,4,0
0,11,6,5,2350
15,9516,6,5,4821
30,4888,6,5,4944
45,1345,6,5,3380
60,1401,6,5,1733
75,259,6,5,711
90,234,6,5,243
105,91,6,5,71
120,346,6,5,18
135,24,6,5,4
150,24,6,5,1
165,17,6,5,0
180,51,6,5,0
195,5,6,5,0
210,9,6,5,0
225,5,6,5,0
240,52,6,5,0
0,16,6,6,2028
15,8379,6,6,4183
30,4105,6,6,4315
45,1243,6,6,2967
60,1166,6,6,1530
75,222,6,6,631
90,235,6,6,217
105,80,6,6,64
120,354,6,6,16
135,19,6,6,4
150,26,6,6,1
165,17,6,6,0
180,45,6,6,0
195,3,6,6,0
210,5,6,6,0
225,2,6,6,0
240,39,6,6,0
0,9,6,7,2210
15,9049,6,7,4551
30,4582,6,7,4687
45,1308,6,7,3218
60,1286,6,7,1657
75,212,6,7,683
90,269,6,7,234
105,91,6,7,69
120,353,6,7,18
135,18,6,7,4
150,19,6,7,1
165,14,6,7,0
180,54,6,7,0
195,4,6,7,0
210,10,6,7,0
225,1,6,7,0
240,52,6,7,0
0,16,6,8,2228
15,9291,6,8,4680
30,4853,6,8,4915
45,1436,6,8,3441
60,1409,6,8,1807
75,266,6,8,759
90,231,6,8,266
105,87,6,8,80
120,420,6,8,21
135,16,6,8,5
150,29,6,8,1
165,10,6,8,0
180,62,6,8,0
195,15,6,8,0
210,5,6,8,0
225,5,6,8,0
240,52,6,8,0
0,10,6,9,2114
15,8770,6,9,4379
30,4354,6,9,4536
45,1268,6,9,3133
60,1312,6,9,1623
75,220,6,9,672
90,250,6,9,232
105,91,6,9,69
120,322,6,9,18
135,23,6,9,4
150,25,6,9,1
165,12,6,9,0
180,53,6,9,0
195,6,6,9,0
210,8,6,9,0
225,7,6,9,0
240,50,6,9,0
0,16,6,10,2325
15,9978,6,10,4919
30,5021,6,10,5204
45,1468,6,10,3670
60,1451,6,10,1941
75,262,6,10,821
90,291,6,10,290
105,99,6,10,88
120,476,6,10,23
135,17,6,10,5
150,29,6,10,1
165,15,6,10,0
180,71,6,10,0
195,11,6,10,0
210,6,6,10,0
225,3,6,10,0
240,74,6,10,0
0,22,6,11,2057
15,9718,6,11,4696
30,5344,6,11,5362
45,1628,6,11,4081
60,1709,6,11,2330
75,368,6,11,1064
90,366,6,11,405
105,127,6,11,132
120,559,6,11,38
135,34,6,11,10
150,45,6,11,2
165,14,6,11,0
180,84,6,11,0
195,18,6,11,0
210,10,6,11,0
225,13,6,11,0
240,117,6,11,0
0,24,6,12,2663
15,11405,6,12,5793
30,6363,6,12,6302
45,2015,6,12,4569
60,1941,6,12,2485
75,376,6,12,1081
90,392,6,12,392
105,139,6,12,122
120,505,6,12,33
135,30,6,12,8
150,43,6,12,2
165,23,6,12,0
180,80,6,12,0
195,7,6,12,0
210,11,6,12,0
225,5,6,12,0
240,92,6,12,0
