"bucket","qty","cluster","month","predicted"
180,28,5,1,8
195,4,5,1,2
210,8,5,1,1
225,4,5,1,0
240,44,5,1,0
0,145,5,2,789
15,7427,5,2,2919
30,5691,5,2,5401
45,3339,5,2,6662
60,6318,5,2,6164
75,1605,5,2,4562
90,1840,5,2,2814
105,983,5,2,1488
120,4455,5,2,688
135,11,5,2,283
150,16,5,2,105
165,4,5,2,35
180,34,5,2,11
195,0,5,2,3
210,3,5,2,1
225,4,5,2,0
240,48,5,2,0
0,114,5,3,656
15,6293,5,3,2444
30,4815,5,3,4550
45,2845,5,3,5647
60,5333,5,3,5257
75,1401,5,3,3915
90,1552,5,3,2429
105,823,5,3,1292
120,3885,5,3,601
135,12,5,3,249
150,18,5,3,93
165,4,5,3,31
180,25,5,3,10
195,4,5,3,3
210,4,5,3,1
225,7,5,3,0
240,42,5,3,0
0,135,5,4,777
15,7429,5,4,2900
30,5815,5,4,5408
45,3414,5,4,6723
60,6274,5,4,6269
75,1689,5,4,4676
90,1866,5,4,2907
105,1047,5,4,1549
120,4579,5,4,722
135,12,5,4,299
150,19,5,4,112
165,6,5,4,38
180,41,5,4,12
195,2,5,4,3
210,4,5,4,1
225,2,5,4,0
240,63,5,4,0
0,131,5,5,740
15,7147,5,5,2760
30,5531,5,5,5151
45,3152,5,5,6408
60,6014,5,5,5980
75,1545,5,5,4463
90,1849,5,5,2776
105,911,5,5,1480
120,4482,5,5,691
135,15,5,5,286
150,14,5,5,107
165,2,5,5,36
180,30,5,5,11
195,4,5,5,3
210,6,5,5,1
225,1,5,5,0
240,61,5,5,0
0,129,5,6,627
15,6170,5,6,2359
30,4701,5,6,4436
45,2839,5,6,5561
60,5292,5,6,5228
75,1396,5,6,3933
90,1543,5,6,2465
105,773,5,6,1325
120,3949,5,6,623
135,17,5,6,260
150,20,5,6,98
165,7,5,6,33
180,39,5,6,10
195,9,5,6,3
210,5,5,6,1
225,3,5,6,0
240,70,5,6,0
0,110,5,7,780
15,6959,5,7,2824
30,5359,5,7,5116
45,3073,5,7,6177
60,5796,5,7,5594
75,1562,5,7,4053
90,1656,5,7,2447
105,817,5,7,1266
120,3724,5,7,573
135,13,5,7,231
150,9,5,7,84
165,6,5,7,28
180,39,5,7,8
195,8,5,7,2
210,4,5,7,1
225,1,5,7,0
240,48,5,7,0
0,89,5,8,731
15,6872,5,8,2693
30,5221,5,8,4960
45,2962,5,8,6090
60,5779,5,8,5608
75,1532,5,8,4132
90,1668,5,8,2537
105,810,5,8,1335
120,4048,5,8,615
135,8,5,8,252
150,14,5,8,93
165,3,5,8,31
180,31,5,8,10
195,2,5,8,3
210,2,5,8,1
225,2,5,8,0
240,46,5,8,0
0,90,5,9,630
15,6101,5,9,2350
30,4705,5,9,4384
45,2583,5,9,5451
60,5254,5,9,5084
75,1373,5,9,3794
90,1530,5,9,2359
105,721,5,9,1257
120,3776,5,9,586
135,7,5,9,243
150,26,5,9,91
165,5,5,9,31
180,39,5,9,10
195,6,5,9,3
210,6,5,9,1
225,2,5,9,0
240,49,5,9,0
0,151,5,10,747
15,7124,5,10,2768
30,5394,5,10,5129
45,3046,5,10,6335
60,6079,5,10,5869
75,1584,5,10,4349
90,1729,5,10,2686
105,877,5,10,1422
120,4241,5,10,659
135,11,5,10,271
150,17,5,10,100
165,5,5,10,34
180,49,5,10,10
195,3,5,10,3
210,1,5,10,1
225,4,5,10,0
240,69,5,10,0
0,105,5,11,580
15,6022,5,11,2233
30,4557,5,11,4298
45,2673,5,11,5516
60,5677,5,11,5310
75,1387,5,11,4089
90,1606,5,11,2624
105,802,5,11,1443
120,4273,5,11,695
135,16,5,11,297
150,18,5,11,114
165,7,5,11,40
180,36,5,11,13
195,2,5,11,4
210,4,5,11,1
225,3,5,11,0
240,69,5,11,0
0,119,5,12,693
15,6659,5,12,2590
30,5163,5,12,4838
45,3051,5,12,6025
60,5742,5,12,5628
75,1423,5,12,4205
90,1694,5,12,2619
105,757,5,12,1398
120,4344,5,12,653
135,7,5,12,271
150,13,5,12,101
165,8,5,12,34
180,42,5,12,11
195,2,5,12,3
210,4,5,12,1
225,2,5,12,0
240,39,5,12,0
0,967,3,0,6238
15,50501,3,0,21873
30,45343,3,0,38345
45,26090,3,0,44814
60,39920,3,0,39281
75,10036,3,0,27545
90,10953,3,0,16096
105,3691,3,0,8062
120,12877,3,0,3533
135,820,3,0,1377
150,914,3,0,483
165,325,3,0,154
180,1911,3,0,45
195,244,3,0,12
210,296,3,0,3
225,148,3,0,1
240,2827,3,0,0
0,80,3,1,576
15,4581,3,1,1984
30,4038,3,1,3419
45,2260,3,1,3927
60,3375,3,1,3384
75,827,3,1,2333
90,911,3,1,1340
105,298,3,1,660
120,1007,3,1,284
135,73,3,1,109
150,84,3,1,38
165,22,3,1,12
180,178,3,1,3
195,29,3,1,1
210,26,3,1,0
225,14,3,1,0
240,266,3,1,0
0,103,3,2,597
15,4776,3,2,2075
30,4269,3,2,3603
45,2397,3,2,4171
60,3672,3,2,3622
75,931,3,2,2516
90,1002,3,2,1456
105,326,3,2,723
120,1057,3,2,314
135,69,3,2,121
150,76,3,2,42
165,25,3,2,13
180,194,3,2,4
195,27,3,2,1
210,25,3,2,0
225,16,3,2,0
240,293,3,2,0
0,60,3,3,493
15,4010,3,3,1704
30,3314,3,3,2946
45,1955,3,3,3395
60,2928,3,3,2935
75,792,3,3,2030
90,900,3,3,1170
105,284,3,3,578
120,867,3,3,250
135,58,3,3,96
150,59,3,3,33
165,20,3,3,10
180,139,3,3,3
195,20,3,3,1
210,22,3,3,0
225,10,3,3,0
240,206,3,3,0
0,101,3,4,596
15,4912,3,4,2097
30,4352,3,4,3686
45,2611,3,4,4320
60,3763,3,4,3797
75,939,3,4,2670
90,1033,3,4,1564
105,355,3,4,786
120,1202,3,4,345
135,75,3,4,135
150,92,3,4,47
165,43,3,4,15
180,198,3,4,4
195,33,3,4,1
210,42,3,4,0
225,9,3,4,0
240,304,3,4,0
0,71,3,5,550
15,4618,3,5,1939
30,4020,3,5,3416
45,2362,3,5,4012
60,3542,3,5,3534
75,912,3,5,2490
90,903,3,5,1462
105,327,3,5,736
120,1168,3,5,324
135,88,3,5,127
150,79,3,5,45
165,32,3,5,14
180,193,3,5,4
195,18,3,5,1
210,21,3,5,0
225,20,3,5,0
240,283,3,5,0
0,72,3,6,451
15,3711,3,6,1600
30,3372,3,6,2840
45,1959,3,6,3360
60,3081,3,6,2982
75,785,3,6,2117
90,859,3,6,1252
105,257,3,6,635
120,1013,3,6,282
135,59,3,6,111
150,67,3,6,39
165,20,3,6,13
180,143,3,6,4
195,14,3,6,1
210,24,3,6,0
225,20,3,6,0
240,231,3,6,0
0,85,3,7,564
15,4164,3,7,1930
30,3842,3,7,3300
45,2208,3,7,3762
60,3335,3,7,3217
75,841,3,7,2201
90,907,3,7,1254
105,295,3,7,613
120,1055,3,7,262
135,59,3,7,100
150,81,3,7,34
165,26,3,7,11
180,141,3,7,3
195,17,3,7,1
210,17,3,7,0
225,10,3,7,0
240,168,3,7,0
0,89,3,8,554
15,4365,3,8,1924
30,3883,3,8,3342
45,2213,3,8,3869
60,3477,3,8,3360
75,855,3,8,2334
90,965,3,8,1351
105,330,3,8,670
120,1121,3,8,291
135,66,3,8,112
150,72,3,8,39
165,35,3,8,12
180,147,3,8,4
195,8,3,8,1
210,19,3,8,0
225,6,3,8,0
240,214,3,8,0
0,95,3,9,487
15,3935,3,9,1729
30,3712,3,9,3073
45,2114,3,9,3640
60,3357,3,9,3234
75,852,3,9,2299
90,927,3,9,1362
105,318,3,9,691
120,1064,3,9,307
135,81,3,9,121
150,72,3,9,43
165,35,3,9,14
180,156,3,9,4
195,20,3,9,1
210,34,3,9,0
225,8,3,9,0
240,225,3,9,0
0,101,3,10,564
15,4398,3,10,1973
30,4060,3,10,3454
45,2348,3,10,4031
60,3645,3,10,3528
75,895,3,10,2471
90,1030,3,10,1442
105,362,3,10,721
120,1255,3,10,316
135,66,3,10,123
150,91,3,10,43
165,31,3,10,14
180,151,3,10,4
195,26,3,10,1
210,27,3,10,0
225,11,3,10,0
240,187,3,10,0
0,54,3,11,424
15,3560,3,11,1521
30,3337,3,11,2730
45,1854,3,11,3267
60,3061,3,11,2931
75,719,3,11,2105
90,820,3,11,1259
105,284,3,11,646
120,1103,3,11,290
135,75,3,11,116
150,81,3,11,41
165,19,3,11,14
180,138,3,11,4
195,14,3,11,1
210,21,3,11,0
225,8,3,11,0
240,200,3,11,0
0,56,3,12,392
15,3471,3,12,1410
30,3144,3,12,2538
45,1809,3,12,3045
60,2684,3,12,2740
75,688,3,12,1973
90,696,3,12,1183
105,255,3,12,608
120,965,3,12,274
135,51,3,12,109
150,60,3,12,39
165,17,3,12,13
180,133,3,12,4
195,18,3,12,1
210,18,3,12,0
225,16,3,12,0
240,250,3,12,0
0,1086,4,0,45821
15,261923,4,0,126011
30,176206,4,0,173268
45,80335,4,0,158832
60,97796,4,0,109199
75,23533,4,0,60060
90,24122,4,0,27528
105,10722,4,0,10815
120,34212,4,0,3718
135,652,4,0,1136
150,762,4,0,312
165,402,4,0,78
180,1688,4,0,18
195,194,4,0,4
210,225,4,0,1
225,172,4,0,0
240,2770,4,0,0
0,84,4,1,3727
15,20817,4,1,9952
30,13395,4,1,13288
45,5850,4,1,11828
60,6941,4,1,7896
75,1646,4,1,4217
90,1580,4,1,1877
105,678,4,1,716
120,2277,4,1,239
