"cluster","month","day","ave_occupancy","predicted"
1,1,1,0.0015771526001705,0.244814392514999
1,1,2,0.202045834777612,0.293456079454969
1,1,3,0.243200153249706,0.276235232227345
1,1,4,0.242340566331935,0.283423630585449
1,1,5,0.25159588599806,0.274392197127439
1,1,6,0.167533344035902,0.199220657128722
1,1,8,0.188038288437905,0.244814392514999
1,1,9,0.243268649686488,0.293456079454969
1,1,10,0.216539624413665,0.276235232227345
1,1,11,0.181213498245148,0.283423630585449
1,1,12,0.241252080542362,0.274392197127439
1,1,13,0.164448790056207,0.199220657128722
1,1,15,0,0.244814392514999
1,1,16,0.325842734985957,0.293456079454969
1,1,17,0.339931355941586,0.276235232227345
1,1,18,0.234977249235561,0.283423630585449
1,1,19,0.277661846359097,0.274392197127439
1,1,20,0.189898344054354,0.199220657128722
1,1,22,0.305163087303433,0.244814392514999
1,1,23,0.303704447193897,0.293456079454969
1,1,24,0.365585026830231,0.276235232227345
1,1,25,0.361948658580692,0.283423630585449
1,1,26,0.257325716518491,0.274392197127439
1,1,27,0.220955981713654,0.199220657128722
1,1,29,0.368742238331433,0.244814392514999
1,1,30,0.314823299214284,0.293456079454969
1,1,31,0.349240984931522,0.276235232227345
1,2,1,0.421303236050679,0.283423630585449
1,2,2,0.307004464525245,0.274392197127439
1,2,3,0.165212086151984,0.199220657128722
1,2,5,0.319673241826375,0.244814392514999
1,2,6,0.313856386757602,0.293456079454969
1,2,7,0.348137219061132,0.276235232227345
1,2,8,0.366371245797397,0.283423630585449
1,2,9,0.304317134627237,0.274392197127439
1,2,10,0.162512086521038,0.199220657128722
1,2,12,0.29371730642191,0.244814392514999
1,2,13,0.290137991626163,0.293456079454969
1,2,14,0.336333339153032,0.276235232227345
1,2,15,0.327178724586014,0.283423630585449
1,2,16,0.289719925215449,0.274392197127439
1,2,17,0.224352494621037,0.199220657128722
1,2,19,0.376363295343474,0.244814392514999
1,2,20,0.32521147259958,0.293456079454969
1,2,21,0.322435500880194,0.276235232227345
1,2,22,0.32321368600141,0.283423630585449
1,2,23,0.29011162945466,0.274392197127439
1,2,24,0.269173604883324,0.199220657128722
1,2,26,0.319451973147625,0.244814392514999
1,2,27,0.299803358761159,0.293456079454969
1,2,28,0.337239205629551,0.276235232227345
1,2,29,0.323408059509402,0.283423630585449
1,3,1,0.314926034643106,0.274392197127439
1,3,2,0.179054935544705,0.199220657128722
1,3,4,0.299104870867978,0.244814392514999
1,3,5,0.330014501163798,0.293456079454969
