"cluster","year","month","avg_occ","toc","predicted_avg_occ","predicted_toc","total_revenue","predicted_revenue"
"1",2024,1,0.212797243983821,0.0683380084151473,0.253792864632123,0.0634482161580308,11676.81,13926.3601547882
"1",2024,2,0.265948661429359,0.0915667166416792,0.253792864632123,0.0634482161580308,13557.36,12937.689600528
"1",2024,3,0.190446591268873,0.0584502103786816,0.253792864632123,0.0634482161580308,11471.4,15287.0127417018
"1",2024,4,0.249223103811978,0.0789855072463768,0.253792864632123,0.0634482161580308,13438.21,13684.6133414703
"1",2024,5,0.216779115950234,0.0670056100981767,0.253792864632123,0.0634482161580308,13351.23,15630.873357931
"1",2024,6,0.22106277347262,0.0669565217391304,0.253792864632123,0.0634482161580308,12313.09,14136.1403120196
"1",2024,7,0.182424537484351,0.0439340813464236,0.253792864632123,0.0634482161580308,10428.65,14508.5578631265
"1",2024,8,0.212879243375541,0.0628330995792426,0.253792864632123,0.0634482161580308,11678.77,13923.3325273095
"1",2024,9,0.287305568377819,0.114528985507246,0.253792864632123,0.0634482161580308,14764.64,13042.4213565341
"1",2024,10,0.268924150260313,0.0892005610098177,0.253792864632123,0.0634482161580308,14434.25,13622.0925222604
"1",2024,11,0.232729794496259,0.076304347826087,0.253792864632123,0.0634482161580308,11827.67,12898.1261626632
"1",2024,12,0.218229440752851,0.0668653576437588,0.253792864632123,0.0634482161580308,11958.59,13907.4031560126
"2",2024,1,0.149147998805257,0.0236943164362519,0.244677219895461,0.0611693049738654,1059.13,1737.50225268692
"2",2024,2,0.236993444887534,0.0641625615763547,0.244677219895461,0.0611693049738654,2355.36,2431.7252189252
"2",2024,3,0.194020706849048,0.0538402457757296,0.244677219895461,0.0611693049738654,2114.12,2666.0917410627
"2",2024,4,0.248959577349458,0.0713095238095238,0.244677219895461,0.0611693049738654,3758.15,3693.5060050307
"2",2024,5,0.246540121424914,0.0642857142857143,0.244677219895461,0.0611693049738654,3442.24,3416.22981503018
"2",2024,6,0.229420902620307,0.0555555555555556,0.244677219895461,0.0611693049738654,2776.24,2960.85786954989
"2",2024,7,0.232328560456441,0.0542242703533026,0.244677219895461,0.0611693049738654,2942.87,3099.28856228057
"2",2024,8,0.255096615707215,0.0692780337941628,0.244677219895461,0.0611693049738654,2906.27,2787.56369187485
"2",2024,9,0.236871913580247,0.0648809523809524,0.244677219895461,0.0611693049738654,2354.87,2432.46671209935
"2",2024,10,0.2314214700217,0.0658602150537634,0.244677219895461,0.0611693049738654,2479.96,2622.01133799319
"2",2024,11,0.216071885235576,0.0767460317460317,0.244677219895461,0.0611693049738654,2386.12,2702.0137640787
"2",2024,12,0.205564973301148,0.0617511520737327,0.244677219895461,0.0611693049738654,2494.08,2968.62131129157
"3",2024,1,0.187106317860436,0.0505833905284832,0.189390642856194,0.0473476607140486,14859.98,15041.4010452038
"3",2024,2,0.212751951572109,0.0628026412325752,0.189390642856194,0.0473476607140486,16087.29,14320.8190214009
"3",2024,3,0.159029389641092,0.0449382292381606,0.189390642856194,0.0473476607140486,13087.5,15586.1130070009
"3",2024,4,0.216795419365898,0.0636524822695035,0.189390642856194,0.0473476607140486,16790.84,14668.335664087
"3",2024,5,0.198210600217292,0.0537234042553192,0.189390642856194,0.0473476607140486,15566.67,14873.9857262842
"3",2024,6,0.176456148363063,0.0469503546099291,0.189390642856194,0.0473476607140486,13065.8,14023.5423043408
"3",2024,7,0.18318209363465,0.0468771448181194,0.189390642856194,0.0473476607140486,13836.44,14305.3953279278
"3",2024,8,0.193240668524642,0.0522477693891558,0.189390642856194,0.0473476607140486,14545.87,14256.0657196822
"3",2024,9,0.195055734651479,0.0593085106382979,0.189390642856194,0.0473476607140486,14099.24,13689.7494049838
"3",2024,10,0.202812279947232,0.0563315030885381,0.189390642856194,0.0473476607140486,15314.47,14300.9945899555
"3",2024,11,0.175944956147084,0.0503191489361702,0.189390642856194,0.0473476607140486,12825.75,13805.8918584867
"3",2024,12,0.157976194809156,0.038984214138641,0.189390642856194,0.0473476607140486,12168.63,14588.4299920205
"4",2024,1,0.337260521031311,0.104569892473118,0.3904995308255,0.097624882706375,9366.47,10845.0349578614
"4",2024,2,0.399236956275204,0.136992337164751,0.3904995308255,0.097624882706375,10696.85,10462.7460976618
"4",2024,3,0.348132411440171,0.136702508960573,0.3904995308255,0.097624882706375,9575.97,10741.3491801286
"4",2024,4,0.387030164680993,0.130166666666667,0.3904995308255,0.097624882706375,10757.89,10854.3244972519
"4",2024,5,0.374185338227664,0.123082437275986,0.3904995308255,0.097624882706375,10268.26,10715.9482287214
"4",2024,6,0.33295305809367,0.101055555555556,0.3904995308255,0.097624882706375,9126.81,10704.2567602152
"4",2024,7,0.353567937662776,0.104534050179211,0.3904995308255,0.097624882706375,9775.25,10796.314179208
"4",2024,8,0.383169540928493,0.114498207885305,0.3904995308255,0.097624882706375,10569.63,10771.8258241445
"4",2024,9,0.371175263453081,0.122277777777778,0.3904995308255,0.097624882706375,10191.84,10722.4514403872
"4",2024,10,0.411863739389154,0.143136200716846,0.3904995308255,0.097624882706375,11261.98,10677.7982268812
"4",2024,11,0.405969996003251,0.1625,0.3904995308255,0.097624882706375,11851.54,11399.9085033924
"4",2024,12,0.422911517580229,0.186021505376344,0.3904995308255,0.097624882706375,12039.17,11116.4866434184
"5",2024,1,0.368057492835719,0.132354070660522,0.366667389674819,0.0916668474187048,26262.74,26163.5491980234
"5",2024,2,0.405290530145826,0.142077175697865,0.366667389674819,0.0916668474187048,27186.74,24595.9139138565
